bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
canneal,lpbt_m_latop_noci_nndbt_picky_none,,285607765092.0,2046247.0,2000478848.0,6223.827346,1209706507.0,1085961084.0,0.4027493559800304,3.8422790247360608
canneal,lpbt_s_power_noci_nndbt_picky_none,,268003514510.0,1812397.0,1997071860.0,5423.141356,1131963890.0,1019024770.0,0.4119853695935617,3.9344278596617968
canneal,lpbt_s_latop_noci_nndbt_picky_none,,271522606787.0,1874714.0,1997691665.0,5591.274442,1147566589.0,1032405349.0,0.4093295977828113,3.9168615010414976
canneal,butter_donut_x_noci_nndbt_picky_none,,289617755285.0,2071254.0,2001342006.0,6264.842703,1228069991.0,1101208195.0,0.39902647528673135,3.8200979407882083
canneal,dbl_bfly_x_noci_nndbt_picky_none,,293992294775.0,2129726.0,2002096307.0,6441.808302,1247629212.0,1117841425.0,0.3957584790030836,3.8002791867334307
canneal,ft_x_noci_nndbt_picky_none,,279374005751.0,1984956.0,1999400228.0,5902.00553,1182808778.0,1062258577.0,0.40467796427435815,3.8714532261557006
canneal,kite_large_noci_nndbt_picky_none,,283268210194.0,2062167.0,2000157973.0,5959.061206,1200727955.0,1077065438.0,0.40026630444819233,3.851176496937267
canneal,kite_small_noci_nndbt_picky_none,,268202614452.0,1815212.0,1997097377.0,5462.415237,1131873202.0,1019781804.0,0.4152145821566827,3.933611090492349
canneal,kite_medium_noci_nndbt_picky_none,,279197767610.0,1936047.0,1999410417.0,5914.58111,1182239781.0,1061588470.0,0.4042020922829613,3.8711203859532484
bodytrack,lpbt_s_power_noci_nndbt_picky_none,,42259919352.0,47556364.0,5770183862.0,7352.060306,3025992325.0,82201385.0,0.9648916783493756,0.05564625677869991
bodytrack,lpbt_s_latop_noci_nndbt_picky_none,,39412799439.0,48176220.0,5764542349.0,7521.463053,3056431337.0,83548358.0,0.9530658734973392,0.05620454307763434
bodytrack,lpbt_m_latop_noci_nndbt_picky_none,,42167514302.0,47448282.0,5771082413.0,7322.279299,3008070675.0,85325616.0,0.9709569897949517,0.055607765161481464
bodytrack,butter_donut_x_noci_nndbt_picky_none,,44466954073.0,49181713.0,5777158669.0,7783.004964,3120874121.0,86163806.0,0.9388991685477149,0.05725666620189426
bodytrack,dbl_bfly_x_noci_nndbt_picky_none,,45336585402.0,51550888.0,5775912330.0,8373.144549,3257376524.0,87135681.0,0.899112771593098,0.05712129240472358
bodytrack,ft_x_noci_nndbt_picky_none,,41088515774.0,46684050.0,5769177457.0,7196.785118,2977368308.0,84686376.0,0.9805496833767426,0.05549448394634913
