bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
canneal,kite_medium_noci_nndbt_injej_none,,289492702467.0,2038280.0,2001502931.0,6489.650138,1229120500.0,1100732709.0,0.39488217666897457,3.8166513114642338
canneal,kite_large_noci_nndbt_injej_none,,296540830788.0,2175273.0,2002722390.0,6662.089649,1261827324.0,1127531676.0,0.38647261907649816,3.7848392460188447
canneal,ft_x_noci_nndbt_injej_none,,288965171544.0,2079577.0,2001358821.0,6452.523397,1227251722.0,1098726888.0,0.393652255306651,3.8199238570821827
canneal,dbl_bfly_x_noci_nndbt_injej_none,,304867018129.0,2215942.0,2004206774.0,7024.147941,1297908712.0,1159190183.0,0.38434914690390987,3.746987130358539
canneal,butter_donut_x_noci_nndbt_injej_none,,301457054546.0,2168652.0,2003610247.0,6872.663209,1282830278.0,1146224542.0,0.3859792046326289,3.76195896768719
canneal,kite_small_noci_nndbt_injej_none,,275885096143.0,1873990.0,1999043515.0,5917.878944,1166953797.0,1048992761.0,0.409602173178287,3.881611894697156
canneal,lpbt_m_latop_noci_nndbt_injej_none,,293847194256.0,2119221.0,2002254717.0,6694.414167,1247987598.0,1117289712.0,0.39350007383830454,3.7966151047230023
canneal,lpbt_s_latop_noci_nndbt_injej_none,,279515719882.0,1943884.0,1999680755.0,6058.361969,1183921150.0,1062797414.0,0.4041168286490382,3.8642999550264645
canneal,lpbt_s_power_noci_nndbt_injej_none,,275111837745.0,1865165.0,1998940729.0,5845.497602,1165023920.0,1046052615.0,0.4051923181583358,3.884613453865367
canneal,lpbt_m_latop_noci_nndbt_picky_none,,285607765092.0,2046247.0,2000478848.0,6223.827346,1209706507.0,1085961084.0,0.4027493559800304,3.8422790247360608
canneal,lpbt_s_power_noci_nndbt_picky_none,,268003514510.0,1812397.0,1997071860.0,5423.141356,1131963890.0,1019024770.0,0.4119853695935617,3.9344278596617968
canneal,lpbt_s_latop_noci_nndbt_picky_none,,271522606787.0,1874714.0,1997691665.0,5591.274442,1147566589.0,1032405349.0,0.4093295977828113,3.9168615010414976
canneal,butter_donut_x_noci_nndbt_picky_none,,289617755285.0,2071254.0,2001342006.0,6264.842703,1228069991.0,1101208195.0,0.39902647528673135,3.8200979407882083
canneal,dbl_bfly_x_noci_nndbt_picky_none,,293992294775.0,2129726.0,2002096307.0,6441.808302,1247629212.0,1117841425.0,0.3957584790030836,3.8002791867334307
canneal,ft_x_noci_nndbt_picky_none,,279374005751.0,1984956.0,1999400228.0,5902.00553,1182808778.0,1062258577.0,0.40467796427435815,3.8714532261557006
canneal,kite_large_noci_nndbt_picky_none,,283268210194.0,2062167.0,2000157973.0,5959.061206,1200727955.0,1077065438.0,0.40026630444819233,3.851176496937267
canneal,kite_small_noci_nndbt_picky_none,,268202614452.0,1815212.0,1997097377.0,5462.415237,1131873202.0,1019781804.0,0.4152145821566827,3.933611090492349
canneal,kite_medium_noci_nndbt_picky_none,,279197767610.0,1936047.0,1999410417.0,5914.58111,1182239781.0,1061588470.0,0.4042020922829613,3.8711203859532484
bodytrack,lpbt_m_latop_noci_nndbt_injej_none,,40683607286.0,50118695.0,5758170991.0,8187.290948,3178157153.0,93495826.0,0.9157683556511919,0.05608491721894663
