bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC,mpki
blackscholes,butter_donut_x_noci_nndbt_picky_none,,19619272685.0,333916.0,2292446804.0,7442.500227,90031224.0,74597995.0,0.2929049059072698,0.12077189799633348
blackscholes,dbl_bfly_x_noci_nndbt_picky_none,,19658195633.0,335748.0,2292477026.0,7554.002098,90354285.0,74745991.0,0.29163708322910453,0.12104643450338194
blackscholes,ft_x_noci_nndbt_picky_none,,19378672395.0,321464.0,2292345629.0,6999.539403,88525416.0,73683165.0,0.2978853455911026,0.12052506412477439
blackscholes,kite_large_noci_nndbt_picky_none,,19672089923.0,336090.0,2292460960.0,7434.248143,90208839.0,74798821.0,0.29429882368167054,0.12099443781726936
blackscholes,kite_medium_noci_nndbt_picky_none,,19505720857.0,317927.0,2292434807.0,7099.175132,89099022.0,74166239.0,0.3016505753118931,0.12030720196780574
blackscholes,kite_small_noci_nndbt_picky_none,,19178947302.0,304120.0,2292354252.0,6491.139765,87079459.0,72923754.0,0.3128025301360045,0.12037369493279372
blackscholes,lpbt_m_latop_noci_nndbt_picky_none,,19287449004.0,323955.0,2292379708.0,6913.825112,88263288.0,73336308.0,0.2981867646695964,0.12070932446102328
blackscholes,lpbt_s_latop_noci_nndbt_picky_none,,18847028941.0,311545.0,2292285917.0,6303.998569,85973477.0,71661707.0,0.30474894858329293,0.120747689872513
blackscholes,lpbt_s_power_noci_nndbt_picky_none,,19000192251.0,306857.0,2292325496.0,6404.690148,86578927.0,72244077.0,0.3065494896203054,0.12035007381970313
bodytrack,butter_donut_x_noci_nndbt_picky_none,,45276574325.0,53723059.0,5776976193.0,8759.840528,3322381298.0,88082482.0,0.8817322549232423,0.05642518420177312
bodytrack,dbl_bfly_x_noci_nndbt_picky_none,,46004716651.0,54530542.0,5780080028.0,9368.679509,3464768870.0,88896559.0,0.846912301415977,0.05665748898556212
bodytrack,ft_x_noci_nndbt_picky_none,,40997443082.0,50067783.0,5766238507.0,7968.814976,3137706264.0,87247754.0,0.9303049351430829,0.05659047849986011
bodytrack,kite_large_noci_nndbt_picky_none,,43345580722.0,53130534.0,5768512477.0,8704.01857,3304002179.0,88010112.0,0.8839893309904939,0.05595089876545781
bodytrack,kite_medium_noci_nndbt_picky_none,,44449648410.0,49019163.0,5776772468.0,7890.200971,3131855880.0,86206748.0,0.935256842002539,0.05675303193920913
bodytrack,kite_small_noci_nndbt_picky_none,,41058310224.0,46130924.0,5769846388.0,7056.905405,2941050530.0,83507891.0,0.9925685301173254,0.05528941827371683
bodytrack,lpbt_m_latop_noci_nndbt_picky_none,,40683607286.0,50118695.0,5758170991.0,8187.290948,3178157153.0,93495826.0,0.9157683556511919,0.05608491721894663
bodytrack,lpbt_s_latop_noci_nndbt_picky_none,,43046752232.0,50835705.0,5774743785.0,8137.947583,3195551412.0,84090478.0,0.9150187986318759,0.05645247354870683
bodytrack,lpbt_s_power_noci_nndbt_picky_none,,40275811847.0,50601256.0,5761165352.0,7966.393245,3143644508.0,84273063.0,0.9264175696704349,0.055841853062950086
canneal,butter_donut_x_noci_nndbt_picky_none,,301457054546.0,2168652.0,2003610247.0,6872.663209,1282830278.0,1146224542.0,0.3859792046326289,3.76195896768719
canneal,dbl_bfly_x_noci_nndbt_picky_none,,304867018129.0,2215942.0,2004206774.0,7024.147941,1297908712.0,1159190183.0,0.38434914690390987,3.746987130358539
canneal,ft_x_noci_nndbt_picky_none,,288965171544.0,2079577.0,2001358821.0,6452.523397,1227251722.0,1098726888.0,0.393652255306651,3.8199238570821827
canneal,kite_large_noci_nndbt_picky_none,,296540830788.0,2175273.0,2002722390.0,6662.089649,1261827324.0,1127531676.0,0.38647261907649816,3.7848392460188447
canneal,kite_medium_noci_nndbt_picky_none,,289492702467.0,2038280.0,2001502931.0,6489.650138,1229120500.0,1100732709.0,0.39488217666897457,3.8166513114642338
canneal,kite_small_noci_nndbt_picky_none,,275885096143.0,1873990.0,1999043515.0,5917.878944,1166953797.0,1048992761.0,0.409602173178287,3.881611894697156
canneal,lpbt_m_latop_noci_nndbt_picky_none,,293847194256.0,2119221.0,2002254717.0,6694.414167,1247987598.0,1117289712.0,0.39350007383830454,3.7966151047230023
canneal,lpbt_s_latop_noci_nndbt_picky_none,,279515719882.0,1943884.0,1999680755.0,6058.361969,1183921150.0,1062797414.0,0.4041168286490382,3.8642999550264645
canneal,lpbt_s_power_noci_nndbt_picky_none,,275111837745.0,1865165.0,1998940729.0,5845.497602,1165023920.0,1046052615.0,0.4051923181583358,3.884613453865367
dedup,butter_donut_x_noci_nndbt_picky_none,,8785003728.0,110799.0,5047222528.0,7842.932979,439084823.0,33403051.0,0.48576320455865907,0.002149522137741569
dedup,dbl_bfly_x_noci_nndbt_picky_none,,8785216495.0,112013.0,5047241760.0,8006.16952,439134632.0,33403860.0,0.48507158951169016,0.0021474854730591255
dedup,ft_x_noci_nndbt_picky_none,,8784141351.0,108368.0,5047194136.0,7373.351255,438916143.0,33399772.0,0.4956510951017828,0.0021475713618614
dedup,kite_large_noci_nndbt_picky_none,,8784773603.0,112028.0,5047219990.0,7788.96396,439053620.0,33402176.0,0.48728609119518684,0.0021418216531170894
dedup,kite_medium_noci_nndbt_picky_none,,8784497716.0,106094.0,5047271527.0,7314.296629,438924461.0,33401127.0,0.4989404505361009,0.0021457207613758546
dedup,kite_small_noci_nndbt_picky_none,,8783287390.0,100549.0,5047232615.0,6611.85254,438660782.0,33396525.0,0.5140005926891213,0.002146650320735913
dedup,lpbt_m_latop_noci_nndbt_picky_none,,8784099008.0,108951.0,5047179615.0,7358.248753,438909785.0,33399611.0,0.49589056440693147,0.0021447432871012748
dedup,lpbt_s_latop_noci_nndbt_picky_none,,8783580898.0,104422.0,5047227043.0,6847.166542,438750863.0,33397641.0,0.5073512436540291,0.00215778984131555
dedup,lpbt_s_power_noci_nndbt_picky_none,,8783540922.0,102056.0,5047250307.0,6817.412223,438746130.0,33397489.0,0.5077398597094104,0.002150043054112746
facesim,butter_donut_x_noci_nndbt_picky_none,,23708137893.0,571469.0,3895188185.0,7746.488534,477036814.0,70077892.0,0.7581964955334184,0.31236519330953927
facesim,dbl_bfly_x_noci_nndbt_picky_none,,24128382437.0,537774.0,3894062360.0,7970.522377,482730195.0,70286446.0,0.7484992114014388,0.3123382406538425
facesim,ft_x_noci_nndbt_picky_none,,23106174288.0,519644.0,3895700037.0,7192.673512,462280572.0,68699145.0,0.8110833840054477,0.3119840013577629
