bench,config,description,simTicks,numCycles,simInsts,average_packet_latency,cumulativeCycles,maxCycles,geoIPC
canneal,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,279317000764.0,1930939.0,1999938486.0,5792.513132,1182300003.0,1062041828.0,0.40795330912180594
canneal,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,274456253963.0,1911729.0,1998938176.0,5702.027459,1161626212.0,1043559901.0,0.4077164820531828
canneal,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,266116228351.0,1790075.0,1997212752.0,5359.103363,1123052993.0,1011848777.0,0.4179786755144452
canneal,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,279991810372.0,1957698.0,1999819814.0,5838.858305,1185129835.0,1064607644.0,0.40696589405770156
canneal,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,274612484379.0,1885287.0,1998883906.0,5683.68513,1161989486.0,1044153933.0,0.4083919770950602
canneal,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,268153415305.0,1814972.0,1997425122.0,5481.666484,1131864597.0,1019594735.0,0.4162135276337164
bodytrack,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,41463667127.0,45542271.0,5772966008.0,6997.357559,2934256774.0,84251062.0,0.9960332972344953
bodytrack,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,42063825763.0,45850150.0,5772597854.0,6965.763922,2930634322.0,83615763.0,0.9971477003514019
bodytrack,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,36894957893.0,44871265.0,5758345878.0,6515.18582,2817142913.0,82396584.0,1.031927372893133
bodytrack,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,43831250198.0,46420202.0,5776586497.0,7036.789289,2951926853.0,84593527.0,0.9916535986999424
bodytrack,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,42232175219.0,46404938.0,5773054312.0,6938.460442,2924097601.0,83452146.0,0.9995027251261552
bodytrack,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,40389921761.0,44957437.0,5762096289.0,6476.853593,2814763227.0,82348840.0,1.0342135262190377
streamcluster,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,46606488266.0,63126215.0,3713749439.0,7207.00289,3761288007.0,95508734.0,0.943454532353983
streamcluster,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,47984876526.0,66391797.0,4024385695.0,7115.338665,4060631788.0,105244796.0,0.9489605894523153
streamcluster,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,52436613091.0,76899069.0,4215874307.0,6550.279672,4935194334.0,108684076.0,0.8214985885000592
streamcluster,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,49692445054.0,70850715.0,3845453835.0,7041.145373,4308519695.0,111192465.0,0.8552001739635893
streamcluster,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,51395160706.0,77527489.0,4207066593.0,7097.452023,4608483773.0,106970177.0,0.8771400460352968
streamcluster,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,52104756272.0,81961082.0,4290500781.0,6520.78166,4911011316.0,107814098.0,0.8401706567373965
facesim,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22852182827.0,437300.0,3892353987.0,6518.667976,443772293.0,67120746.0,0.8079488890793954
facesim,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22818634021.0,550327.0,3894053893.0,6466.122737,443801356.0,66590074.0,0.8264868670290183
facesim,ns_s_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22758687379.0,584168.0,3894189258.0,6065.968047,433285095.0,65878997.0,0.8489957929990429
facesim,ns_l_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22926325946.0,475490.0,3894608946.0,6550.619106,445849369.0,67232729.0,0.8241438616776998
facesim,ns_m_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22739175935.0,500708.0,3894509660.0,6485.981668,444344612.0,66966001.0,0.8329183277211972
facesim,ns_s_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,22340405078.0,378394.0,3892590930.0,6043.409038,431129327.0,66000394.0,0.8279039220580091
raytrace,ns_l_latop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4075855387.0,15463252.0,7005444518.0,5973.432102,827180345.0,15463252.0,1.6457116466959822
raytrace,ns_m_scop_noci_picky_cohmem_prioritized_doubley_memory_mclb_hops,,4081714501.0,12767402.0,7004959222.0,5970.054633,826617455.0,15480030.0,1.6464863002644203
