sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_005,5033.001872,4935.037022,1715986.0,1715988.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_01,5099.16619,4996.813365,3432077.0,3432082.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_015,5170.199969,5065.234242,5149550.0,5149566.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_02,5246.317543,5139.784238,6864235.0,6864252.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_025,5327.502497,5219.199922,8580330.0,8580342.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_03,5415.881982,5307.128252,10297232.0,10297260.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_035,5511.968045,5404.645634,12013449.0,12013492.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_04,5617.939671,5513.497202,13728504.0,13728541.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_045,5733.16649,5633.474748,15445219.0,15445257.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_05,5863.732556,5772.276255,17160036.0,17160074.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_055,6010.608494,5931.76512,18876454.0,18876503.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_06,6173.734507,6112.697302,20591049.0,20591095.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_065,6365.224899,6330.401194,22305947.0,22306016.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_07,6585.386521,6588.025857,24022647.0,24022725.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_075,6842.602422,6898.378165,25738865.0,25738931.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_08,7160.069526,7294.726946,27456669.0,27456766.0
2b,mixed,coh,lpbt_m_latop,mclb_hops_4_6_40cpus_4xdirs_4.0GHz,0_085,7544.838324,7792.209641,29174702.0,29174809.0
