sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_01,4875.356053,4775.897329,3432078.0,3432082.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_005,4811.743401,4719.630483,1715985.0,1715988.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_015,4942.719618,4836.290238,5149551.0,5149566.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_02,5013.322208,4899.672798,6864234.0,6864252.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_025,5089.747584,4967.956348,8580334.0,8580342.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_03,5173.889466,5043.865366,10297231.0,10297260.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_035,5264.411837,5126.286821,12013458.0,12013492.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_04,5363.013181,5216.218638,13728507.0,13728541.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_045,5469.985453,5314.343502,15445219.0,15445257.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_05,5589.649848,5425.132345,17160029.0,17160074.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_055,5721.318617,5547.84341,18876461.0,18876503.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_06,5868.661089,5686.827269,20591055.0,20591095.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_065,6033.942668,5844.244595,22305959.0,22306016.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_07,6221.162126,6025.59646,24022645.0,24022725.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_075,6432.267583,6233.795301,25738868.0,25738931.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_08,6679.791889,6483.153706,27456678.0,27456766.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_085,6970.461818,6785.545417,29174714.0,29174811.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_09,7317.091562,7159.540815,30890632.0,30890756.0
2b,mixed,coh,ns_l_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_095,7739.707275,7637.20567,32605045.0,32605150.0
