sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_16
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_15,116443002.442216,234383390.529014,40930250.0,40930665.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_17,133205551.753136,287948492.975879,43440266.0,43440659.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_18,137763098.333631,308067759.656001,44712739.0,44713165.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_19
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_2,145038119.58363,344792072.733162,47403449.0,47403862.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_21
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_22
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_23
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_24
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_14,104552301.131889,202960745.116933,39645611.0,39645990.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_145,111214165.628201,219862687.346994,40288992.0,40289410.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_135,97291696.397754,185480571.28975,38984094.0,38984515.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_13,88836294.83545,166278019.292255,38324317.0,38324708.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_125,77973262.609968,143184497.938595,37681163.0,37681534.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_12,67009478.324246,121002933.729117,36922210.0,36922612.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_115,54753938.469382,96736247.718853,36379441.0,36379752.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_11,37898191.966055,65591649.837893,35765572.0,35765864.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_105,22219656.079159,37750277.137397,35033103.0,35033338.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_1,8598950.148832,14422064.125616,33985718.0,33985897.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_095,12033.578358,16226.09846,32604937.0,32605072.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_09,6239.663461,6844.729362,30890658.0,30890756.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_085,5283.040861,5457.385066,29174754.0,29174815.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_08,4773.0305,4776.22379,27456710.0,27456766.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_075,4440.506447,4366.761256,25738894.0,25738931.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_07,4198.765254,4088.118166,24022677.0,24022725.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_065,4006.217361,3878.404828,22305967.0,22306016.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_06,3851.65718,3717.656694,20591069.0,20591095.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_055,3722.116701,3586.94581,18876479.0,18876503.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_05,3609.319671,3476.368824,17160043.0,17160074.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_045,3513.611379,3384.433482,15445239.0,15445257.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_04,3429.934225,3305.528978,13728518.0,13728541.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_035,3356.020293,3236.863567,12013469.0,12013492.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_03,3288.407146,3174.439691,10297244.0,10297260.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_025,3227.985798,3119.248733,8580336.0,8580342.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_02,3173.19431,3069.958714,6864244.0,6864252.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_015,3123.291042,3024.984477,5149557.0,5149566.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_01,3077.251814,2983.826528,3432078.0,3432082.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_005,3033.993245,2946.277404,1715988.0,1715988.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_155,121566773.76773,249008225.919653,41584009.0,41584413.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_165,129980678.984859,276020478.04689,42823646.0,42824067.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_175,134535450.126,296116196.721239,44038908.0,44039336.0
2b,same,mem,ns_s_latop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_185,140333321.186358,318844022.657385,45375253.0,45375642.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_16,74208640.950281,155786216.94556,41955264.0,41955628.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_15,75368969.342937,151787542.344064,40908623.0,40909012.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_17,75810380.907821,163778018.638018,43462873.0,43463259.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_18,86642040.390307,192180990.548468,45009753.0,45010117.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_19,96602936.566744,220466714.664268,46438177.0,46438570.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_2,105194386.093913,246409691.651021,47920694.0,47921074.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_21
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_22
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_23
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_24
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_14,72256367.617084,139711623.801022,39813472.0,39813826.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_145,73407206.33344,144803800.018804,40379320.0,40379702.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_135,69917219.337028,132316563.790524,39303790.0,39304067.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_13,64368712.351591,119450359.967854,38707260.0,38707614.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_125,56977826.470323,103896313.908392,38001847.0,38002203.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_12,41870166.378764,74515218.066727,37605639.0,37605978.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_115,25533231.320365,44139812.512458,37451655.0,37451866.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_11,7225816.668417,12142568.750505,37278525.0,37278717.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_105,1976801.685584,3295520.897014,35963263.0,35963375.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_1,6328.647086,7085.63613,34319819.0,34319888.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_095,5140.230215,5304.673192,32605079.0,32605150.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_09,4647.408538,4645.251142,30890687.0,30890756.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_085,4327.208911,4252.618854,29174764.0,29174815.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_08,4089.088203,3979.156318,27456719.0,27456766.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_075,3896.444612,3768.240138,25738895.0,25738931.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_07,3742.827154,3606.880533,24022683.0,24022725.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_065,3609.936499,3471.979216,22305986.0,22306016.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_06,3496.366569,3359.394667,20591074.0,20591095.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_055,3397.686192,3263.646341,18876477.0,18876503.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_05,3310.741289,3180.491815,17160045.0,17160074.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_045,3233.494283,3107.795832,15445239.0,15445257.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_04,3164.646207,3043.819018,13728520.0,13728541.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_035,3102.926361,2986.923662,12013470.0,12013492.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_03,3046.527926,2935.316676,10297246.0,10297260.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_025,2994.871355,2888.468879,8580336.0,8580342.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_02,2946.888572,2845.495756,6864243.0,6864252.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_015,2903.368891,2806.372004,5149558.0,5149566.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_01,2862.450606,2769.932103,3432078.0,3432082.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_005,2823.51756,2736.098789,1715988.0,1715988.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_155,75173960.628203,154596034.421367,41426487.0,41426810.0
2b,same,mem,ns_m_scop,nndbt_none_2_6_40cpus_4xdirs_4.0GHz,0_165
