sim_cycles,mixed_or_same,mem_or_coh,config,alg,inj_rate,average_packet_latency,average_flit_latency,packets_received::total,packets_injected::total
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_03,5999.105409,6052.852904,16476517.0,16476565.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_07,6303.951749,6380.394774,38433448.0,38433538.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_11,6890.938476,7014.000408,60397430.0,60397596.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_08,6411.620406,6496.401257,43930132.0,43930269.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_02,5941.675083,5991.81317,10983046.0,10983075.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_14,8116.48607,8474.021394,76891325.0,76891606.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_17,46926438.681053,129274550.500394,78174324.0,78176116.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_01,5889.839525,5936.593764,5492873.0,5492892.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_06,6212.339084,6281.610745,32944970.0,32945068.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_09,6539.11769,6633.733646,49420594.0,49420746.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_13,7513.612488,7708.375706,71396006.0,71396203.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_19,67092381.298386,200576302.007441,83629442.0,83631264.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_16,53451430.007671,143810390.857485,74589328.0,74591005.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_12,7152.548682,7300.813802,65898593.0,65898837.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_04,6062.2464,6120.390878,21967700.0,21967760.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_15,52221992.401427,139382363.418472,70256412.0,70258074.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_05,6132.791388,6195.687929,27456613.0,27456697.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_1,6696.620831,6804.016991,54907182.0,54907367.0
2b,mixed,coh,kite_small_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_18,63081239.293394,190820641.351287,78765344.0,78767226.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_04,6884.63536,6960.816124,21967693.0,21967760.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_07,7556.574327,7697.755012,38433422.0,38433538.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_1,42494335.463165,104822658.832044,49240992.0,49242911.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_12,66437559.69662,181842881.604012,55374915.0,55376809.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_06,7251.056907,7360.2229,32944948.0,32945068.0
2b,mixed,coh,kite_med_64r,2evns_12vcs_64cpus_4xdirs_4.0GHz,0_03,6759.730882,6825.623488,16476512.0,16476565.0
