topo,total_dynamic,total_leakage,router_area,link_area
kite_large,9.20515031997,13.2869138759,7.3133164544e-06,5.6380566113e-05,
kite_medium,10.471000502,14.0586260358,7.73237194752e-06,5.80748838387e-05,
kite_small,11.6583995831,13.6598911288,7.50737163264e-06,4.29149146553e-05,
lpbt_s_latop,10.9880150582,12.6820530534,6.96513359872e-06,3.8296580038e-05,
lpbt_s_power,10.9022330781,12.6792966131,6.96462012928e-06,3.67332492727e-05,
lpbt_m_latop,10.0269131411,13.6643500499,7.51270372864e-06,4.84274342152e-05,
mesh,23.0382830717,26.0043638109,1.42703733709e-05,0.000216656479384,
ns_s_latop,11.4209427397,13.4616033272,7.395425664e-06,4.11149146553e-05,
ns_s_scop,11.6169224773,13.6598911288,7.50737163264e-06,4.29149146553e-05,
ns_m_latop,10.3319513143,14.0586260358,7.73237194752e-06,5.74698507965e-05,
ns_m_scop,10.324459928,14.0586260358,7.73237194752e-06,5.5817426511e-05,
ns_l_latop,9.49944973637,14.0586260358,7.73237194752e-06,6.27750236015e-05,
ns_l_scop,9.61280415255,14.0586260358,7.73237194752e-06,6.71376131182e-05,
ft_x,10.4490906497,14.0586260358,7.73237194752e-06,5.68748838387e-05,
butter_donut_x,9.22585218986,13.2633054487,7.28456723456e-06,5.6589798494e-05,
dbl_bfly_x,8.51566120642,12.4826173453,6.84422176768e-06,4.1144743966e-05,
